First Name	Last Name	Average	Absences
Tupac	Shakur	98%	1
Sean	Combs	67%	4
Chris 	Bridges	78%	5
Sean 	Carter	56%	7
Chris	Wallace	98%	3
Calvin	Broadus	67%	6
Marshal	Mathers	65%	7
Robert	Van Winkle	89%	9
Earl	Simmons	82%	12
Eric	Wright	81%	6
Tracy	Marrow	85%	3
William	Roberts	78%	23
Tauheed	Epps	75%	32
Artis	Ivey	97%	7
Kim	Jones	99%	8
Dante	Smith	78%	4
Meliss	Elliot	87%	2
Nasir	Jones	84%	0
Cornell	Haynes	74%	3
Jermaine	Denny	73%	5
Sandra	Denton	71%	2
Talib	Greene	67%	1
Usher	Raymond	40%	83
Clifford	Smith	68%	34
David	Brown	78%	2
